index	return	risk	MSFT	SPY	AAPL	GOOGL	TSLA	NVDA
0	0.017731352308132	0.03015214360624401	-5.614902668610747e-20	0.8446313319248983	0.11490945609134072	0.04045921198376107	-3.685562266175972e-21	-6.903915486530219e-20
1	0.018109344041298776	0.030181352849758543	-4.093410200822599e-20	0.8297652407705483	0.11269515347573035	0.05753960575372144	1.2950854959792733e-20	-1.3968222377156196e-20
2	0.018487335774465558	0.030268811460178402	-4.0345916793568256e-20	0.8148991496161972	0.11048085086012087	0.07461999952368191	1.2765480736637163e-20	-1.376533101910675e-20
3	0.018865327507632337	0.03041401693565255	-3.9759113802968106e-20	0.8000330584618465	0.10826654824451147	0.09170039329364219	1.2577291795044997e-20	-1.3568881831985383e-20
4	0.01924331924079912	0.030616147646178885	-3.917114382296864e-20	0.7851669673074954	0.10605224562890204	0.10878078706360263	1.2394798837929409e-20	-1.3364417647130672e-20
5	0.019621310973965893	0.030874085554121643	-3.8582330020473014e-20	0.7703008761531446	0.10383794301329259	0.1258611808335629	1.2206906585259692e-20	-1.3165411067734982e-20
6	0.01999930270713268	0.031186445974075883	-3.7992424286893614e-20	0.7554347849987934	0.10162364039768317	0.14294157460352352	1.2019966112063038e-20	-1.2966940468171691e-20
7	0.02037729444029946	0.03154613728161836	-3.753288200978558e-20	0.74142748892432	0.1011514999031454	0.1541558775436347	1.5550092676659394e-20	0.0032651336289000483
8	0.02075528617346624	0.031921871260209976	-3.674384015880557e-20	0.7282047984964743	0.1022710199450528	0.1600108484421734	1.5215327224751375e-20	0.009513333116299491
9	0.021133277906633028	0.0323086258842666	-3.5955760389963795e-20	0.7149821080686287	0.10339053998696013	0.1658658193407122	1.4881882847731577e-20	0.015761532603699013
10	0.021511269639799806	0.03270601019260768	-3.5169170022065513e-20	0.7017594176407832	0.10451006002886741	0.17172079023925105	1.4546836646643047e-20	0.022009732091098452
11	0.021889261372966585	0.033113641498962135	-3.438252025609651e-20	0.6885367272129377	0.10562958007077478	0.17757576113778978	1.421394828177715e-20	0.028257931578497906
12	0.02226725310613337	0.03353114609341576	-3.3594803483178e-20	0.675314036785092	0.10674910011268202	0.18343073203632862	1.3881171303522563e-20	0.03450613106589739
13	0.022645244839300152	0.033957983697444905	-3.408865636021469e-20	0.6624395849856468	0.10764851563177157	0.18869431495493685	0.0007177737600101202	0.04049981066763468
14	0.023023236572466934	0.034392234429835834	-3.331389083426994e-20	0.650077134877723	0.10822432004398336	0.1930884031610821	0.0024908623222365135	0.04611927959497507
15	0.023401228305633712	0.03483324991349826	-3.253762494537056e-20	0.637714684769799	0.10880012445619522	0.19748249136722734	0.00426395088446299	0.05173874852231552
16	0.023779220038800494	0.035280776467848	-3.176060775796682e-20	0.6253522346618747	0.10937592886840718	0.20187657957337252	0.006037039446689436	0.057358217449655954
17	0.02415721177196728	0.03573456946698641	-3.098472529964359e-20	0.6129897845539507	0.10995173328061907	0.20627066777951777	0.007810128008915883	0.06297768637699644
18	0.024535203505134055	0.0361943932120168	-3.0208777908601525e-20	0.6006273344460268	0.11052753769283098	0.21066475598566298	0.009583216571142335	0.0685971553043368
19	0.024913195238300836	0.03666002077413332	-2.943188511509621e-20	0.5882648843381028	0.11110334210504297	0.21505884419180815	0.011356305133368768	0.07421662423167726
20	0.025291186971467622	0.03713123381349286	-2.865390375665056e-20	0.5759024342301786	0.11167914651725488	0.2194529323979535	0.013129393695595211	0.07983609315901771
21	0.025669178704634404	0.03760782237837301	-2.788044257119183e-20	0.5635399841222547	0.1122549509294667	0.2238470206040987	0.01490248225782165	0.08545556208635814
22	0.026047170437801186	0.03808958468863662	-2.710295622611965e-20	0.5511775340143308	0.11283075534167859	0.22824110881024393	0.016675570820048072	0.09107503101369856
23	0.026425162170967968	0.03857632690706801	-2.6327271803438063e-20	0.5388150839064066	0.11340655975389059	0.23263519701638913	0.018448659382274545	0.09669449994103904
24	0.026803153904134753	0.039067862901721734	-2.5548219531603697e-20	0.5264526337984827	0.11398236416610237	0.23702928522253439	0.020221747944500993	0.10231396886837947
25	0.027181145637301528	0.039564014002032966	-2.477421799535755e-20	0.5140901836905587	0.11455816857831433	0.24142337342867956	0.02199483650672745	0.10793343779571984
26	0.027559137370468313	0.04006460875107838	-2.399729422801765e-20	0.5017277335826346	0.11513397299052626	0.24581746163482482	0.023767925068953897	0.11355290672306034
27	0.027937129103635095	0.0405694826560495	-2.3223087196661137e-20	0.4893652834747107	0.11570977740273808	0.2502115498409701	0.025541013631180325	0.11917237565040073
28	0.028315120836801873	0.04107847793870418	-2.2445517920219714e-20	0.4770028333667868	0.11628558181495002	0.2546056380471153	0.02731410219340677	0.12479184457774113
29	0.02869311256996865	0.041591443287295284	-2.1669767927419686e-20	0.4646403832588629	0.11686138622716184	0.2589997262532604	0.029087190755633204	0.13041131350508153
30	0.029071104303135434	0.04210823361123788	-2.0892949261595912e-20	0.45227793315093884	0.11743719063937383	0.2633938144594057	0.03086027931785965	0.13603078243242198
31	0.02944909603630222	0.042628709799564145	-2.011634625772185e-20	0.43991548304301475	0.11801299505158583	0.26778790266555086	0.03263336788008611	0.14165025135976245
32	0.029827087769469	0.043152738484028084	-1.9342102238255213e-20	0.4275530329350908	0.11858879946379756	0.27218199087169614	0.03440645644231255	0.1472697202871029
33	0.030205079502635783	0.043680191807557	-1.856241377849978e-20	0.41519058282716664	0.11916460387600952	0.27657607907784143	0.036179545004538995	0.1528891892144433
