index	x	v	a	u	u_recomputed
0	-5.0	0.0	0.0	1.702187750335369	1.6722992613612306
1	-5.0	-0.0170218775033536	1.5319689753018322	-1.2632004503621268	-1.1520953475076385
2	-5.018724065253689	1.4526828412873434	0.5482854675061015	-1.249321022901088	-1.2351825827057483
3	-3.420772939837612	1.8407789615184165	-0.5212749063542674	-0.2121273782690489	-0.2885035031677543
4	-1.3959160821673535	1.1636111781127112	-0.7643170374318382	0.4528954342657632	0.36920157289926436
5	-0.1159437862433712	0.3166199203985361	-0.4331428503358352	0.4725068738944704	0.43059848657804506
6	0.2323381261950186	-0.1312528481993055	-0.0512009488643953	0.1913957003167816	0.18864360890565945
7	0.0879599931757824	-0.1686824218037184	0.1159350865342686	-0.0367244338149042	-0.02480316949907202
8	-0.0975906708083078	-0.0413086030776423	0.0944766047542816	-0.0973107500894468	-0.0890245579500391
9	-0.1430301341937144	0.0535481392475839	0.0163445901492076	-0.0528000534230505	-0.052383641576975316
10	-0.0841271810213721	0.0642486864988033	-0.029540998916617	0.0027174371749201	-0.0007812574431825675
11	-0.0134536258726885	0.0297326945063875	-0.0300494053508506	0.0245238968260611	0.021550489733584144
12	0.0192523380843378	-0.0020327489958199	-0.0109828387424806	0.0175064194427759	0.016620045538680323
13	0.0170163141889358	-0.0124382350960222	0.0036746548817696	0.0032122019937285	0.003705843480792506
14	0.0033342555833113	-0.0077356114686761	0.0069331021643022	-0.0045982409526479	-0.0039070355616860775
15	-0.0051749170322324	-0.0003296208561949	0.0034879955233493	-0.0046117164215938	-0.004320374934108467
16	-0.0055374999740468	0.0030630541408224	-0.0003137497037501	-0.0014853171236914	-0.0015605541855284702
17	-0.0021681404191421	0.0024735396794144	-0.0016819100854474	0.0008021388147591	0.0006237459494981405
18	0.0005527532282137	0.0006203497421503	-0.0011281761607089	0.0012053682629946	0.0011022074214585174
19	0.0012351379445791	-0.0005255062673681	-0.0001561623400846	0.0005672688244304	0.0005625648332771814
20	0.0006570810504742	-0.000626982551956	0.0003387633678942	-6.917055118866667e-05	-3.1363928404773704e-05
21	-3.259975667742592e-05	-0.000241767391749	0.0003103862086138	-0.0002798645516288	-0.00025046041799473495
22	-0.0002985438876013	8.00748911253631e-05	8.954673300927651e-05	-0.0001770980397279	-0.00017099262808745218
23	-0.0002104615073634	0.0001589077787689	-6.088682944490608e-05	-1.6213779644593516e-05	-2.3761285331546996e-05
24	-3.56629507176281e-05	8.533665071581178e-05	-8.156791406953087e-05	6.026007421715045e-05	5.2173939116466155e-05
25	5.820736506976487e-05	-1.2891334639952167e-06	-3.549063868104856e-05	5.107095232007161e-05	4.815984059619943e-05
26	5.678931825937013e-05	-3.5387036387792544e-05	6.924154538911029e-06	1.317127444138191e-05	1.4301033358402054e-05
27	1.7863578232798328e-05	-2.540209868146163e-05	1.947071699004585e-05	-1.1025825827227312e-05	-9.017917794329297e-06
28	-1.007873031680947e-05	-4.254449414499635e-06	1.149454544454586e-05	-1.345323404458043e-05	-1.2437705134020794e-05
29	-1.475862467275907e-05	7.225346039714698e-06	5.360893488780595e-07	-5.414865496405269e-06	-5.485089228027568e-06
30	-6.810744029072901e-06	7.066244972141438e-06	-4.283680662998877e-06	1.4853432722662354e-06	1.0199673464235702e-06
31	9.621254402826816e-07	2.2752704123556987e-06	-3.375239784259153e-06	3.296443632946984e-06	2.981859067971871e-06
32	3.4649228938739504e-06	-1.191698860255536e-06	-7.459644930327831e-07	1.8244799535569192e-06	1.781738563683441e-06
33	2.1540541475928604e-06	-1.7994400421466958e-06	8.214710158651658e-07	4.202929088695608e-09	1.0044169668012868e-07
34	1.7467010123149504e-07	-8.391406021510057e-07	9.074007536315084e-07	-7.380181881688711e-07	-6.498690774505642e-07
35	-7.483845611346113e-07	1.1418435589571653e-07	3.339244596426755e-07	-5.448669387437285e-07	-5.191190164200916e-07
36	-6.227817696493232e-07	4.254428263541238e-07	-1.2306333926241264e-07	-1.011206217177154e-07	-1.1800736165218392e-07
37	-1.54794660659787e-07	2.6699957763659655e-07	-2.2637823273459778e-07	1.4703039359759705e-07	1.2412428351772824e-07
38	1.389048747404693e-07	2.376999483909306e-08	-1.1668870177022025e-07	1.493643303897303e-07	1.393579088287529e-07
39	1.6505186906347166e-07	-9.095491463042279e-08	6.070325403515023e-09	5.022462646295264e-08	5.216383114678574e-08
40	6.500146297000659e-08	-7.659486029867075e-08	5.18795217605239e-08	-2.3717546563983106e-08	-1.8224839536797804e-08
41	-1.9252883358531265e-08	-1.9412653130666143e-08	3.5721682028991494e-08	-3.786827054537286e-08	-3.4613328560342416e-08
42	-4.060680180226402e-08	1.6842892815396124e-08	5.212406741055068e-09	-1.823850845006076e-08	-1.8074770105206754e-08
43	-2.2079619705328283e-08	2.0292775022359436e-08	-1.0681010189894106e-08	1.962903386283573e-09	7.604670772835755e-10
44	2.424328192670933e-10	8.096908805861253e-09	-9.9824981612283e-09	8.857550802299906e-09	7.905657964702638e-09
45	9.149032505714472e-09	-2.2847308359147554e-09	-3.008952255281215e-09	5.723559417638686e-09	5.511369629640196e-09
46	6.635828586208242e-09	-4.9719979890168215e-09	1.8413559950654802e-09	6.142504016174555e-10	8.448446168152674e-10
47	1.1666307982897383e-09	-2.731652498819108e-09	2.578316956027738e-09	-1.873707879296364e-09	-1.6177261478688423e-09
48	-1.8381869504112811e-09	9.650938082117516e-12	1.1498115602637843e-09	-1.6290265477549181e-09	-1.5342898417608417e-09
49	-1.8275709185209517e-09	1.1172970920020502e-09	-2.0133117668926344e-10	-4.3782744816856866e-10	-4.721140288571874e-10
50	-5.985441173186968e-10	8.186810394287302e-10	-6.155089977099015e-10	3.396976461623196e-10	2.759533926963323e-10
51	3.020050260529066e-10	1.4868241119982763e-10	-3.7133201593480413e-10	4.2802200128248776e-10	3.9502554555578543e-10
52	4.655556783727171e-10	-2.23231465071044e-10	-2.3245416374045684e-11	1.7706639100469632e-10	1.7867854916012074e-10
53	2.2000106679456863e-10	-2.2476212802932998e-10	1.3378979389277644e-10	-4.358458032799901e-11	-2.898858627763939e-11
54	-2.7237274037694327e-11	-7.474976522497938e-11	1.0794265098685499e-10	-1.0404452175222788e-10	-9.395415897525414e-11
55	-1.0946201578517163e-10	3.631117495255307e-11	2.5096846508535423e-11	-5.888569895600378e-11	-5.7388838094716946e-11
56	-6.951972333736327e-11	5.711091862996646e-11	-2.5390597901014435e-11	-1.0693009259414335e-12	-4.067963119768113e-12
57	-6.697712844400158e-12	2.728945177026552e-11	-2.889202852446317e-11	2.314341948197919e-11	2.0327448510842793e-11
58	2.3320684102891915e-11	-3.118354699820834e-12	-1.0952153843128222e-11	1.747298049122462e-11	1.6618453414915642e-11
59	1.9890493933089e-11	-1.3385795185722807e-11	3.678313214661112e-12	3.458531152303253e-12	3.973796758942254e-12
60	5.166119228793907e-12	-8.587403424745504e-12	7.158822573200149e-12	-4.554625365042373e-12	-3.828014934287632e-12
61	-4.280024538426147e-12	-8.822353840803867e-13	3.7755420019820296e-12	-4.75865536620678e-12	-4.4331192350820904e-12
62	-5.250483460914572e-12	2.8403396098726484e-12	-1.2969362740586824e-13	-1.6524035309419212e-12	-1.708029076432088e-12
63	-2.126109890054659e-12	2.449620738159228e-12	-1.6298261679941845e-12	7.173578129141434e-13	5.441108510348363e-13
64	5.684729219204922e-13	6.491502266196892e-13	-1.147186753170874e-12	1.1996454752234689e-12	1.0947050731094814e-12
65	1.2825381712021501e-12	-5.175886663068448e-13	-1.8222450078683938e-13	5.916624357777155e-13	5.848101188022779e-13
66	7.131906382646208e-13	-6.44859699781435e-13	3.320492413344205e-13	-5.1936588058576664e-14	-1.4334687616800266e-14
67	3.844968505042409e-15	-2.644075846550062e-13	3.185112362151437e-13	-2.786814858331093e-13	-2.4821398698709606e-13
68	-2.870033746154645e-13	6.740566307321195e-14	9.954902258685967e-14	-1.8406097853811026e-13	-1.7691160268447414e-13
69	-2.128571452349313e-13	1.570772780087885e-13	-5.6150955838753604e-14	-2.2253850940849304e-14	-2.9372109380257346e-14
70	-4.007213942526393e-14	8.824868067050222e-14	-8.179451726939333e-14	5.841704129487751e-14	5.027108462437637e-14
71	5.700140931228851e-14	1.1348507845795572e-15	-3.7398631830942934e-14	5.2050843783672936e-14	4.894650911684048e-14
72	5.824974517532603e-14	-3.5027842971110904e-14	5.7072643912684106e-15	1.458017377193053e-14	1.560516901861089e-14
73	1.9719117907104034e-14	-2.6248959240014133e-14	1.9400147225132733e-14	-1.0418881364154991e-14	-8.402702707124528e-15
74	-9.154737256911516e-15	-5.089734638495077e-15	1.1963168719906511e-14	-1.3595694956071576e-14	-1.2527915837641187e-14
75	-1.47534453592561e-14	6.920206058826333e-15	9.233601314327466e-16	-5.775133388631066e-15	-5.808380194033106e-15
76	-7.141218694547133e-15	7.16312891169112e-15	-4.181923905191938e-15	1.2734509078506925e-15	8.15039824775214e-16
77	7.382231083130998e-16	2.4612538015111605e-15	-3.454010478645509e-15	3.284479694189344e-15	2.960504868854497e-15
78	3.4456022899753767e-15	-1.099026330295082e-15	-8.433798017396504e-16	1.9005432273437362e-15	1.8483238593378713e-15
79	2.236673326650786e-15	-1.8093399411916797e-15	7.82771122695747e-16	6.441663545124951e-17	1.5763232917925643e-16
80	2.4639939133993856e-16	-8.854175468660643e-16	9.190232068714464e-16	-7.249370829740829e-16	-6.350895329020886e-16
81	-7.275599102127324e-16	8.344562517815693e-17	3.584821528819166e-16	-5.598827602902031e-16	-5.31618170128499e-16
82	-6.357697225167598e-16	4.21257935501064e-16	-1.095641160910745e-16	-1.1758323770147782e-16	-1.3328773819226117e-16
83	-1.7238599346558918e-16	2.762220640414516e-16	-2.26345441631512e-16	1.409648561653209e-16	1.1791663745125886e-16
84	1.3145827698000763e-16	3.216203952571686e-17	-1.2211161524587442e-16	1.5156408034728603e-16	1.4097794248153528e-16
85	1.6683652045829621e-16	-8.857583971390836e-17	2.0848955420955826e-18	5.42960350599033e-17	5.586899311923797e-17
86	6.940309677299697e-17	-7.828056532812578e-17	5.115981665021811e-17	-2.162089962856915e-17	-1.616077814796317e-17
87	-1.6705525087941397e-17	-2.163447398132031e-17	3.6816988649527686e-17	-3.798282873068005e-17	-3.460227730693452e-17
88	-4.050344646739373e-17	1.588494092116983e-17	6.3141416568684214e-18	-1.9176753795438838e-17	-1.8906901684521866e-17
89	-2.3030011454106918e-17	2.048664894103224e-17	-1.0313522593339693e-17	1.3177492238620566e-18	1.4259527446503023e-19
90	-4.946976189714579e-19	8.626960091017685e-18	-1.0158900551197812e-17	8.7633725748292e-18	7.78854964324649e-18
91	8.994958481147996e-18	-1.9743251674702973e-18	-3.287755288971315e-18	5.916145836396422e-18	5.676043776684668e-18
92	6.8232007969306696e-18	-4.959421633609981e-18	1.7080004348883332e-18	7.941700313393504e-19	1.0135629411501727e-18
93	1.3678369999596891e-18	-2.84882075741846e-18	2.5935535065825822e-18	-1.8195862575080997e-18	-1.5604924307210159e-18
94	-1.765865833200618e-18	-8.186698784808017e-20	1.2152812254835511e-18	-1.6623365691975144e-18	-1.5607486224712577e-18
95	-1.8559195198335062e-18	1.0974602408380765e-18	-1.592935642458568e-19	-4.843644893797464e-19	-5.148676834260464e-19
96	-6.4871325491162195e-19	8.412289756145022e-19	-6.111509611122143e-19	3.189633952670852e-19	2.552224041729276e-19
97	2.7663861826433057e-19	1.7332303104377756e-19	-3.851990014830591e-19	4.316641543171132e-19	3.9713370636815603e-19
98	4.672939524124859e-19	-2.142649650126775e-19	-3.5221162745963176e-20	1.88171195253794e-19	1.8865328245171653e-19
99	2.316024908985407e-19	-2.2818028507261273e-19	1.3061079670785512e-19	-3.6890709249155494e-20	-2.250297494725961e-20
