Date	AAPL	SPY	TSLA	MSFT	NVDA	GOOGL
2024-01-31	182.67483520507812	471.23065185546875	187.2899932861328	391.7392272949219	61.49274444580078	139.0493927001953
2024-02-29	179.05897521972656	495.8227233886719	201.8800048828125	407.56329345703125	79.06794738769531	137.42169189453125
2024-03-29	170.09246826171875	510.4510803222656	175.7899932861328	415.3058776855469	90.30569458007812	149.79815673828125
2024-04-30	168.95176696777344	491.3919677734375	183.27999877929688	384.31982421875	86.35794830322266	161.55929565429688
2024-05-31	190.6944122314453	516.246337890625	178.0800018310547	409.7878112792969	109.57709503173828	171.20640563964844
2024-06-28	209.1991424560547	532.740966796875	197.8800048828125	441.994140625	123.47700500488281	180.78402709960938
2024-07-31	220.5818328857422	540.931396484375	232.07000732421875	413.71124267578125	116.96993255615234	170.44900512695312
2024-08-30	227.45513916015625	553.5706787109375	214.11000061035156	412.5146484375	119.31893157958984	162.34092712402344
2024-09-30	231.696044921875	563.4699096679688	261.6300048828125	426.29571533203125	121.38804626464844	164.79519653320312
2024-10-31	224.6457061767578	560.1546020507812	249.85000610351562	402.568603515625	132.7145538330078	170.24734497070312
2024-11-29	236.00180053710938	593.55859375	345.1600036621094	419.5193786621094	138.2026824951172	168.09823608398438
2024-12-31	249.29251098632812	577.3343505859375	403.8399963378906	418.4134521484375	134.24403381347656	188.34564208984375
2025-01-31	234.93743896484375	594.8347778320312	404.6000061035156	412.0206298828125	120.03717041015625	203.2240753173828
2025-02-28	240.7511444091797	587.283447265625	292.9800109863281	394.0829162597656	124.8858413696289	169.61572265625
2025-03-31	221.37301635742188	552.897216796875	259.1600036621094	373.3883056640625	108.3503646850586	154.03672790527344
2025-04-30	211.7758331298828	549.7523193359375	282.1600036621094	393.1523742675781	108.90023040771484	158.3626708984375
2025-05-30	200.16552734375	584.301513671875	346.4599914550781	457.90521240234375	135.10548400878906	171.26702880859375
2025-06-30	204.7389373779297	612.5157470703125	317.6600036621094	495.66595458984375	157.96133422851562	175.7446746826172
2025-07-31	207.1339111328125	628.4754028320312	308.2699890136719	531.62939453125	177.85006713867188	191.60317993164062
2025-08-29	231.65228271484375	641.3713989257812	333.8699951171875	504.91339111328125	174.1604766845703	212.5806884765625
2025-09-30	254.38340759277344	662.380859375	444.7200012207031	516.982421875	186.55909729003906	242.7239990234375
2025-10-31	270.108154296875	680.050537109375	456.55999755859375	516.8426513671875	202.47872924804688	281.0061950683594
2025-11-28	278.5799560546875	681.3765869140625	430.1700134277344	491.09088134765625	176.99014282226562	319.970703125
2025-12-31	271.8599853515625	679.910888671875	449.7200012207031	483.6199951171875	186.4896240234375	312.79541015625
