recipe_slug	score_estimate
falafel	0.5174388977188652
spamburger	0.5165629710495842
bacon-fried-rice	0.9830945874249634
chicken-fingers	0.9510138478763357
apple-crisp	0.5207905608733424
cranberry-apple-crisp	0.4769534531330907
bacon-chocolate-chip-cookies	0.10588585575560394
sujebi	0.5355842829966171
pasta-primavera	0.49401548252420824
ramen	0.49543701593480705
brownies	0.4263083220514286
bacon-wrapped-scallops	0.9529383880600207
bacon-egg-muffins	0.9359543535921035
breakfast-burritos	0.5721241678250197
bolognese-sauce	0.5222901254712033
croissants	0.4925359295527396
bacon-souffle	0.8538774693125326
souffle	0.4941301655039856
chocolate-souffle	0.09192227224353111
butter-croissants	0.4024410776543527
pickled-green-beans	0.47454985055320564
fried-oysters	0.5230078998837092
peanut-butter-brownies	0.34188843471822905
almond-chip-cookies	0.05822931968201317
guacamole	0.5055283257073142
brioche-bread	0.5025721247410628
brioche-bread-with-chocolate	0.06518599844652329
asparagus-quiche	0.49877173580090056
asparagus-burger	0.47100090559500674
ma-la-chicken	0.9667616396840879
cold-noodles-with-tomatoes	0.4941146994178625
tamales	0.5111843548864226
enchiladas	0.5391260917170283
tacos	0.4998674608110536
burritos	0.5069000801627497
peanut-butter-cupcakes	0.07283488466119416
pickled-asparagus	0.5417569330190464
chocolate-peanut-butter-cake	0.028031237913692192
udon	0.48480742498064594
vegetable-lasagna	0.509241339805304
maple-bacon-donuts	0.8608870903314373
maple-bacon-pancakes	0.19660869700452582
spinach-and-ricotta-stuffed-shells	0.5275177848636169
quesadillas	0.5091582062297034
pico-de-gallo	0.47716088343320284
nachos	0.500053469260322
cold-soba-noodles-with-tomato-and-cucumber	0.49521606623040937
fajitas	0.4892266298420972
loaded-nachos	0.4865695219814618
lasagna	0.545579345670156
chicken-nuggets	0.9483009148193503
pain-au-chocolat	0.4862337930025691
nacho-dip	0.495080041545473
nacho-salad	0.5210787312947445
nacho-casserole	0.4851429507157534
nacho-fries	0.5282687186742421
tempura-udon	0.5002617696062547
peach-crisp	0.4953768296201843
apple-pie	0.04093508578392041
blueberry-crisp	0.4877936926864616
berry-crumble	0.4667938459483601
strawberry-rhubarb-crisp	0.49386393542754287
peach-cobbler	0.49176597926151827
cranberry-sauce	0.4917799797168757
cherry-cobbler	0.44717257207032834
apple-crumble	0.4959876043434824
chocolate-croissants	0.09802761138603211
french-toast	0.5422761110176579
chocolate-babka	0.04244875561884248
cinnamon-babka	0.4226337469532693
blueberry-crumble	0.4588782401718599
spam-musubi	0.48789123141831586
taco-salad	0.49911676908711833
chiles-rellenos	0.4813441848820399
almond-croissants	0.4714240089899567
cranberry-relish	0.4917799797168757
ma-la-beef	0.9079890117515277
chocolate-cake	-0.0005914834397509061
spinach-quiche	0.5655519845216191
mushroom-quiche	0.4763908470214116
quiche-lorraine	0.5219248513399302
croissant-aux-amandes	0.5016450809526578
danishes	0.4886901497920305
spinach-and-feta-quiche	0.4665417173782734
cold-sesame-noodles	0.4788603131895691
soba-noodle-salad-with-peanut-dressing	0.49080837113355724
dan-dan-noodles	0.5351448087902001
vanilla-souffle	0.4867019583385461
bacon-wrapped-dates	0.9704385701206185
cherry-pie	0.0877854985325934
berry-crisp	0.5187585179048417
bacon-and-egg-breakfast-sandwich	0.9371972372207817
bacon-wrapped-shrimp-skewers	0.9558600804117681
bacon-wrapped-chicken	0.9982086680173161
bacon-wrapped-asparagus	0.9739685150940205
bacon-mac-and-cheese	0.9751068508473945
chicken-alfredo-lasagna	0.9155377333607942
classic-beef-lasagna	0.8698057755681616
vegetarian-mushroom-lasagna	0.5544849158769629
spinach-and-ricotta-lasagna	0.49965224171413886
