curr_state	curr_action	next_reward	next_state	old_value	new_value
1024	0	0	1152	0.0	0.0
1152	0	0	1280	0.0	0.0
1280	0	0	1408	0.0	0.0
1408	0	0	1536	0.0	0.0
1536	0	0	1664	0.0	0.0
1664	0	0	1792	0.0	0.0
1792	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
1920	0	0	1920	0.0	0.0
